das Klassentreffen	επανένωση (παλιών συμμαθητών), reunion
die Bestätigung, die Bestätigungen	επιβεβαίωση
verwenden, er verwendet, er hat verwendet	χρησιμοποιώ
der Nachteil, die Nachteile	μειονέκτημα, ελάττωμα
Alles neu, alles anders	programmieren, er programmiert, er hat programmiert	 προγραμματίζω (ΗΥ)
die Dokumentation, die Dokumentationen	τεκμηρίωση, καταγραφή
zu/stimmen, er stimmt zu, er hat zugestimmt	συμφωνώ
ab/lehnen, er lehnt ab, er hat abgelehnt	αρνούμαι, απορρίπτω
recht haben, er hat recht, er hatte recht	έχω δίκαιο
träumen, er träumt, er hat geträumt	ονειρεύομαι
das Medienmanagement	διαχείριση μέσων
die Medien-Agentur, die Medien-Agenturen	πρακτορείο μέσων
sich bewerben, er bewirbt sich, er hat sich beworben	κάνω αίτηση (πρόσληψης)
der Inhalt, die Inhalte	περιεχόμενο
die Unsicherheit	ανασφάλεια, αβεβαιότητα
das Videogespräch, die Videogespräche	συνομιλία σε βίντεο
das Videotelefonat, die Videotelefonate	βιντεοκλήση
der Liefertermin, die Liefertermine	ημερομηνία παράδοσης
bestätigen, er bestätigt, er hat bestätigt	επιβεβαιώνω
freundlich	φιλικός
anstrengend	κουραστικός, κοπιαστικός
der Buchmarkt, die Buchmärkte	αγορά του βιβλίου
klassisch	κλασικός
der Leser, die Leser / die Leserin, die Leserinnen	αναγνώστης, αναγνώστρια
die Buchhandlung, die Buchhandlungen	βιβλιοπωλείο
die Milliarde, die Milliarden	δισεκατομμύριο
der Krimi, die Krimis	αστυνομικό μυθιστόρημα
der Roman, die Romane	μυθιστόρημα
das Sachbuch, die Sachbücher	βιβλίο ειδικής θεματολογίας
die Biografie, die Biografien	βιογραφία
die Reiseliteratur	ταξιδιωτική λογοτεχνία
der Leseforscher, die Leseforscher / die Leseforscherin,	ερευνητής/ερευνήτρια του χώρου του βιβλίου
reduzieren, er reduziert, er hat reduziert	μειώνω, ελαττώνω
die Kreativität	δημιουργικότητα
der Wortschatz	λεξιλόγιο
der Leseort, die Leseorte	τόπος ανάγνωσης
der Bibliotheksausweis, die Bibliotheksausweise	ταυτότητα χρήστη βιβλιοθήκης
aus/leihen, er leiht aus, er hat ausgeliehen	δανείζω, δανείζομαι
die Literatur, die Literaturen	λογοτεχνία
die Zeitschrift, die Zeitschriften	περιοδικό
die Autori*innenlesung, die Autor*innenlesungen	ανάγνωση βιβλίων από τους συγγραφείς τους
die Bildung	μόρφωση
empfehlen, er empfiehlt, er hat empfohlen	συνιστώ, προτείνω
der Buchtipp, die Buchtipps	συνιστώμενο βιβλίο
entdecken, er entdeckt, er hat entdeckt	ανακαλύπτω
das Lieblingsbuch, die Lieblingsbücher	αγαπημένο βιβλίο
der Bestseller, die Bestseller	μπεστ-σέλερ, επιτυχημένο βιβλίο
die Familiengeschichte, die Familiengeschichten	ιστορία μιας οικογένειας
der Ingenieur, die Ingenieure / die Ingenieurin,	μηχανικός
die Ingenieurinnen	der Dolmetscher, die Dolmetscher / die Dolmetscherin, 	 διερμηνέας
verlobt	μνηστευμένος, αρραβωνιασμένος
tragisch	τραγικός
wunderbar	θαυμάσιος, θαυμαστός, θαυμάσια
die Liebesgeschichte, die Liebesgeschichten	ιστορία αγάπης, ερωτική ιστορία
der Verlag, die Verlage	εκδοτικός οίκος
die Empfehlung, die Empfehlungen	σύσταση, πρόταση
der Kommissar, die Kommissare	(αστυνομικός) επιθεωρητής
der Band, die Bände	τόμος
spielen, er spielt, er hat gespielt	[εδώ!] διαδραματίζομαι
allzu ...	πάρα πολύ …
der Fall, die Fälle	[εδώ!] υπόθεση
der Fahrradfahrer, die Fahrradfahrer /	ποδηλάτης, ποδηλάτισσα
der Stadtwald, die Stadtwälder	δάσος της πόλης
tot, der Tote	νεκρός
das Team, die Teams	ομάδα, συνεργάτες
ermitteln, er ermittelt, er hat ermittelt	ερευνώ (μια υπόθεση)
das Baumkind, die Baumkinder	παιδί που ζει στα δέντρα
bekannt	γνωστός
der Autor, die Autoren / die Autorin, die Autorinnen	συγγραφέας
der Förster, die Förster / die Försterin, die Försterinnen	δασονόμος
der Bewohner, die Bewohner / die Bewohnerin,	κάτοικος
begeistern, er begeistert, er hat begeistert	ενθουσιάζω
die Buchempfehlung, die Buchempfehlungen	προτεινόμενο βιβλίο
die Seitenzahl, die Seitenzahlen	αριθμός σελίδων
der Literaturklassiker, die Literaturklassiker	κλασικό λογοτεχνικό έργο
die Hauptperson, die Hauptpersonen	κεντρικό πρόσωπο
das Literaturlexikon, die Literaturlexika	λογοτεχνικό λεξικό
veröffentlichen, er veröffentlicht, er hat veröffentlicht	δημοσιεύω, εκδίδω
der Krieg, die Kriege	πόλεμος
die Flucht	φυγή
verlassen, er verlässt, er hat verlassen	εγκαταλείπω, αφήνω
der Flüchtling, die Flüchtlinge	πρόσφυγας
die Welt, die Welten	κόσμος
merken, er merkt, er hat gemerkt	παρατηρώ, προσέχω, αντιλαμβάνομαι
die Wirkung	επίδραση
flüchten, er flüchtet, er ist geflüchtet	τρέπομαι σε φυγή
die Zeitungsnotiz, die Zeitungsnotizen	επισήμανση/αναφορά στην εφημερίδα
das Chaos	χάος
die Telenovela, die Telenovelas	τηλενουβέλα
die Serie, die Serien	σίριαλ
die Lieblingssendung, die Lieblingssendungen	αγαπημένη εκπομπή
die Kunst, die Künste	τέχνη
die Station, die Stationen	σταθμός
die Zeitleiste, die Zeitleisten	χρονολόγιο
der Dichter, die Dichter / die Dichterin, die Dichterinnen	ποιητής, λογοτέχνης
der Naturforscher, die Naturforscher /	φυσιοδίφης
Jura	Νομική
der Anwaltsberuf	δικηγορικό επάγγελμα
unglücklich	[εδώ!] άτυχος
verfassen, er verfasst, er hat verfasst	(συγ)γράφω
das Leiden, die Leiden	πάθος, βάσανο, πόνος
über Nacht	μέσα σε μια μέρα
der Minister, die Minister	υπουργός
die Regierung, die Regierungen	κυβέρνηση
das Theaterstück, die Theaterstücke	θεατρικό έργο
sich beschäftigen, er beschäftigt sich, er hat sich	ασχολούμαι με …
die Naturwissenschaften (Plural!)	φυσικές επιστήμες
die Farbenlehre	χρωματολογία
zusammen/arbeiten, er arbeitet zusammen,	συνεργάζομαι
das Genie, die Genies	ιδιοφυϊα
biografisch	βιογραφικός
die Erklärung, die Erklärungen	εξήγηση
der Stadtführer, die Stadtführer / die Stadtführerin,	ξεναγός
schenken, er schenkt, er hat geschenkt	χαρίζω, δωρίζω
das Gartenhaus, die Gartenhäuser	εξοχικό (σπίτι)
auf/führen, er führt auf, er hat aufgeführt	ανεβάζω (παράσταση)
schriftlich	γραπτώς
mündlich	προφορικά
der/das Fakt, die Fakten	(αποδεδειγμένο) γεγονός
der Satzanfang	αρχή της πρότασης
die Vergangenheit	παρελθόν
die Kurzbiografie, die Kurzbiografien	σύντομη βιογραφία
die Fahrzeit, die Fahrzeiten	ώρα/χρόνος/διάρκεια της διαδρομής
der Radiobeitrag, die Radiobeiträge	ραδιοφωνικό απόσπασμα
der Welttag, die Welttage	παγκόσμια ημέρα
die Buchmesse, die Buchmessen	έκθεση βιβλίου
das Lesefest, die Lesefeste	γιορτή βιβλίου
der Feiertag, die Feiertage	γιορτή
die Veranstaltung, die Veranstaltungen	εκδήλωση
die Buchvostellung, die Buchvorstellungen	βιβλιοπαρουσίαση
der Bücherwurm, die Bücherwürmer	βιβλιοφάγος
die Leseratte, die Leseratten	βιβλιοφάγος
der Ratgeber, die Ratgeber	βιβλίο με συμβουλές
der Bücherflohmarkt, die Bücherflohmärkte	βιβλιοπάζαρο
die Bildergeschichte, die Bildergeschichten	ιστορία σε εικόνες
der Künstlername, die Künstlernamen	καλλιτεχνικό ψευδώνυμο
zurück/stellen, er stellt zurück, er hat zurückgestellt	βάζω πίσω στη θέση του
die Haustür, die Haustüren	εξώπορτα
spazieren, er spaziert, er ist spaziert	περπατάω
erfolgreich	επιτυχημένος
der Romanschriftsteller, die Romanschriftsteller /	μυθιστοριογράφος
Philosophie	Φιλοσοφία
Psychologie	Ψυχολογία
der Schriftsteller, die Schriftsteller / die Schriftstellerin,	συγγραφέας
das Hörspiel, die Hörspiele	ραδιοφωνικό έργο
zusammen/leben, sie leben zusammen,	συζώ
die Handlung	υπόθεση (βιβλίου)
handeln, es handelt von + Dat	έχω ως υπόθεση, αναφέρομαι
leise	[εδώ!] ήσυχος
weich	απαλός
das Fell, die Felle	τρίχωμα, δέρμα (ζώου)
streicheln, er streichelt, er hat gestreichelt	χαϊδεύω
niedlich	χαριτωμένος
witzig	αστείος
das Futter	τροφή (για ζώα)
die Pflege	φροντίδα, περιποίηση
der Kauf, die Käufe	αγορά
der Kater, die Kater	γάτος
fressen, er frisst, er hat gefressen	τρώω [χρησιμοποιείται για ζώα]
miauen, er miaut, er hat gemiaut	νιαουρίζω
der Wissenstest, die Wissenstests	τεστ γνώσεων
die Webseite, die Webseiten	ιστοσελίδα
das Katzenvideo, die Katzenvideos	βίντεο με γάτες
die Transportbox, die Transportboxen	κιβώτιο μεταφοράς (ζώου)
das Katzenfutter	γατοτροφή
das Katzenbuch, die Katzenbücher	βιβλίο με θέμα τις γάτες
der Gewinner, die Gewinner / die Gewinnerin,	νικητής, νικήτρια
das Heft, die Hefte	[εδώ!] τεύχος
das Kätzchen, die Kätzchen	γατάκι, γατούλα
das Katzenklo, die Katzenklos	τουαλέτα για γάτες
googeln, er googelt, er hat gegoogelt	γκουγκλάρω
die Zoohandlung, die Zoohandlungen	κατάστημα για κατοικίδια ζώα, pet shop
der Kanarienvogel, die Kanarienvögel	καναρίνι
der Wellensittich, die Wellensittiche	παπαγαλάκι
der Papagei, die Papageien	παπαγάλος
das Pflegeprodukt, die Pflegeprodukte	προϊόν περιποίησης
der Zoobesuch, die Zoobesuche	επίσκεψη σε ζωολογικό κήπο
das Kaninchen, die Kaninchen	κουνέλι
der Hamster, die Hamster	χάμστερ
der Goldfisch, die Goldfische	χρυσόψαρο
das Meerschweinchen, die Meerschweinchen	ινδικό χοιρίδιο
die Nahrung	τροφή
das Shampoo, die Shampoos	σαμπουάν
der Tiefreund, die Tierfreunde	ζωόφιλος
das Zubehör	εξαρτήματα, παρελκόμενα
das Kleintier, die Kleintiere	μικρό ζώο
der Vogel, die Vögel	πουλί
die Hundeleine, die Hundeleinen	λουρί σκύλου
der Zoohändler, die Zoohändler	έμπορος κατοικίδιων ζώων
das Einkaufszentrum, die Einkaufszentren	πολυκατάστημα
die Haustierampel	οδηγός (επιλογής) κατοικίδιων ζώων
die Entscheidung, die Entscheidungen	απόφαση
die Suchanzeige, die Suchanzeigen	αγγελία αναζήτησης
weg sein, er ist weg, er war weg	είναι φευγάτος
weg/laufen, er läuft weg, er ist weggelaufen	το σκάω
die Pfote, die Pfoten	πόδι (ζώου)
der Schwanz, die Schwänze	ουρά
vermissen, er vermisst, er hat vermisst	μου λείπει
der Liebling, die Lieblinge	[εδώ!] αγαπημένο ζώο
die Schnauze, die Schnauzen	μουσούδα
das Tierheim, die Tierheime	άσυλο ζώων
die Gesprächsnotiz, die Gesprächsnotizen	σημείωμα τηλεφωνικής επικοινωνίας
der Besitzer, die Besitzer / die Besitzerin,	κάτοχος, ιδιοκτήτης/ιδιοκτήτρια
schwierig	δύσκολος
die Hündin, die Hündinnen	σκυλίτσα
die Autobahn, die Autobahnen	αυτοκινητόδρομος
intelligent	έξυπνος, ευφυής
der Hundefreund, die Hundefreunde /	φίλος/φίλη των σκύλων
der Futternapf, die Futternäpfe	ταϊστρα
neugierig	περίεργος (να μάθει)
der Katzenkorb, die Katzenkörbe	καλάθι για γάτες
nervig	εκνευριστικός
unbeliebt	μη αγαπητός, αντιπαθής
das Gewinnspiel, die Gewinnspiele	διαγωνισμός
das Salzwasser	αλμυρό νερό
der Katzenkalender, die Katzenkalender	ημερολόγιο με γάτες
das Vogelfutter	τροφή για πουλιά
die Adjektivendung, die Adjektivendungen	κατάληξη επιθέτου
der Graupapagei, die Graupapageien	γκρίζος παπαγάλος
der Koi, die Koi(s)	κόι [ασιατικός κυπρίνος]
die Hausmaus, die Hausmäuse	οικιακό ποντίκι
die Kleintierpraxis, die Kleinterpraxen	ιατρείο μικρών ζώων
die Sprechstunde	επισκεπτήριο
häufig	συχνός
der Rat, die Ratschläge	συμβουλή
sich verletzen er verletzt sich, er hat sich verletzt	τραυματίζομαι
vorsichtig	προσεκτικός
bellen, er bellt, er hat gebellt	γαυγίζω
global	παγκόσμιος
regional	τοπικός
die Tradition, die Traditionen	παράδοση
der Apfelwein, die Apfelweine	μηλίτης, μηλόκρασο
der Krug, die Krüge	κανάτα
die Europäische Zentralbank	Ευρωπαϊκή Κεντρική Τράπεζα
das Nachtleben	νυχτερινή ζωή
die Skyline	γραμμή του ορίζοντα
die Soße, die Soßen	σάλτσα
die Oper	κτίριο της όπερας
der Wochenmarkt, die Wochenmärkte	λαϊκή αγορά
die Weltstadt, die Weltstädte	κοσμοπολίτικη πόλη
traditionell	παραδοσιακός
der Charme	χάρη
der Gegensatz, die Gegensätze	αντίθεση
das Rathaus, die Rathäuser	δημαρχείο
die Messestadt, die Messestädte	εκθεσιακή πόλη
hin/kommen, er kommt hin, er ist hingekommen	φθάνω (σε ένα μέρος)
multikulturell	πολυπολιτισμικός
die Metropole, die Metropolen	μητρόπολη
die Börse, die Börsen	χρηματιστήριο
das Unternehmen, die Unternehmen	επιχείρηση
hin/gehen, er geht hin, er ist hingegangen	πηγαίνω (σε ένα μέρος)
jüdisch	εβραϊκός
der Dom, die Dome	καθεδρικός ναός
das Stadtviertel, die Stadtviertel	τετράγωνο, περιοχή, γειτονιά
alkoholisch	αλκοολούχος
das Kraut, die Kräuter	βότανο
bestehen, er besteht aus + Dat	αποτελούμαι από …
der Handkäse	μαλακό τυρί [γαστρονομική σπεσιαλιτέ της περιοχής
der Essig	ξύδι
schlemmen, er schlemmt, er hat geschlemmt	καλοτρώω
sich vor/stellen, er stellt sich vor, er hat sich vorgestellt	φαντάζομαι
der Bauer, die Bauern	αγρότης
der Stand, die Stände	[εδώ!] πάγκος (της λαϊκής)
der Hof, die Höfe	[εδώ!] αγρόκτημα
an/bauen, er baut an, er hat angebaut	καλλιεργώ
saisonal	εποχιακός
die Erdbeere, die Erdbeeren	φράουλα
der Spargel, die Spargel	σπαράγγι
der Kohl	λάχανο
die Bohne, die Bohnen	φασολάκι
der Gemüsebauer, die Gemüsebauern /	καλλιεργητής λαχανικών
der Gemüsehof, die Gemüsehöfe	λαχανόκηπος
die Kirsche, die Kirschen	κεράσι
die Himbeere, die Himbeeren	σμέουρο
die Mango, die Mangos	μάνγκο
die Avocado, die Avocados	αβοκάντο
beschreiben, er beschreibt, er hat beschrieben	περιγράφω
der Relativsatz, die Relativsätze	αναφορική πρόταση
das Schulkind, die Schulkinder	σχολιαρόπαιδο, μαθητής
der Obsthändler, die Obsthändler / die Obsthändlerin,	φρουτέμπορος
das Relativpronomen, die Relativpronomen	αναφορική αντωνυμία
die Gemüsekiste, die Gemüsekisten	κούτα με διάφορα λαχανικά
der Familienbetrieb, die Familienbetriebe	οικογενειακή επιχείρηση
der Kranz, die Kränze	σταυρός
die Torte, die Torten	τούρτα
die Buttercreme	κρέμα βουτύρου
der Teig	ζύμη
die Kalorie, die Kalorien	θερμίδα
die Frucht, die Früchte	φρούτο
der Fluggast, die Fluggäste	επιβάτης (αεροπλάνου)
aufgeregt	ταραγμένος, (ελαφρά) αναστατωμένος
hoffentlich	ας ελπίσουμε
klappen, es klappt, es hat geklappt	πάει καλά
der Flugbegleiter, die Flugbegleiter /	αεροσυνοδός
der Pilot, die Piloten / die Pilotin, die Pilotinnen	πιλότος
der Zollbeamte, die Zollbeamten / die Zollbeamtin,	τελωνειακός υπάλληλος
der Fluglotse, die Fluglotsen / die Fluglotsin,	ελεγκτής/ελέγκτρια εναέριας κυκλοφορίας
der Polizist, die Polizisten / die Polizistin, die Polizistinnen	αστυνόμος
der Mechaniker, die Mechaniker / die Mechanikerin,	μηχανικός
der Ausweis, die Ausweise	ταυτότητα
öffnen, er öffnet, er hat geöffnet	ανοίγω
der Co-Pilot, die Co-Piloten / die Co-Pilotin,	συγκυβερνήτης, συγκυβερνήτρια
der Bundepolizist, die Bundespolizisten /	ομοσπονδιακός αστυνόμος
der Passagier, die Passagiere / die Passagierin,	επιβάτης (αεροπλάνου)
hassen, er hasst, er hat gehasst	μισώ
die Bildunterschrift, die Bildunterschriften	λεζάντα
das Souvenir, die Souvenirs	ενθύμιο, αναμνηστικό, σουβενίρ
das Handtuch, die Handtücher	πετσέτα (προσώπου), προσόψι
die Seife, die Seifen	σαπούνι
die Kneipe, die Kneipen	μπυραρία
der Zwiebelkuchen	κρεμμυδόπιτα
der Obstsalat, die Obstsalate	φρουτοσαλάτα
der Frühstückstisch	τραπέζι του πρωϊνού
entwickeln, er entwickelt, er hat entwickelt	αναπτύσσω
das Gemüsegeschäft, die Gemüsegeschäfte	μανάβικο
das Fischgericht, die Fischgerichte	φαγητό με ψάρι
der Flugverkehr	εναέρια κυκλοφορία
die Maschine, die Maschinen	μηχανή
das Lösungswort	(λέξη-)λύση
der Reisepartner, die Reisepartner /	συνταξιδιώτης, συνταξιδιώτισσα
mega	καταπληκτικός, θαυμάσιος
romantisch	ρομαντικός
verrückt	τρελός
die Traumfrau, die Traumfrauen	γυναίκα των ονείρων
blond	ξανθός
sensibel	ευαίσθητος
der Supermann, die Supermänner	σούπερμαν, υπεράνθρωπος
sympathisch	συμπαθητικός
der Busfahrer, die Busfahrer / die Busfahrerin,	οδηγός λεωφορείου
der Zahnarzt, die Zahnärzte / die Zahnärztin,	οδοντίατρος
die Kontaktanzeige, die Kontaktanzeigen	αγγελία για γνωριμία
die Collage, die Collagen	κολάζ
auf/stellen, er stellt auf, er hat aufgestellt	τοποθετώ, στήνω
das Wortsuchrätsel, die Wortsuchrätsel	κρυπτόλεξο, άσκηση αναζήτησης λέξεων
der Tiername, die Tiernamen	όνομα ζώου
sinnvoll	λογικός, λογικά σωστός
das Liebesgedicht, die Liebesgedichte	ερωτικό ποίημα, ποίημα αγάπης
die Großstadtatmosphäre	ατμόσφαιρα μεγαλούπολης
das Stadtgeflüster	ψίθυροι της πόλης
das Titelbild, die Titelbilder	εικόνα του εξώφυλλου
der Maler, die Maler / die Malerin, die Malerinnen	ζωγράφος
die Hörcollage, die Hörcollagen	ηχητικό κολάζ
mal	[εδώ!] κάποτε
nicht mehr	όχι πια
fremd	ξένος
das Licht, die Lichter	φως
hin/fahren, er fährt hin, er ist hingefahren	πηγαίνω (κάπου)
still	σιωπηλός
ein/atmen, er atmet ein, er hat eingeatmet	εισπνέω
bei/bringen, er bringt bei, er hat beigebracht	διδάσκω, μαθαίνω (σε κάποιον κάτι)
die Zusage, die Zusagen	αποδοχή, καταφατική απάντηση
versprechen, er verspricht, er hat versprochen	υπόσχομαι
lügen, er lügt, er hat gelogen	λέω ψέμματα, ψεύδομαι
die Strategie, die Strategien	στρατηγική, τακτική
der Vordergrund	πρώτο πλάνο
der Hintergrund	φόντο, βάθος
das Alter	ηλικία
Darf ich ...?	der Musiker, die Musiker / die Musikerin, die Musikerinnen	 μουσικός
früh	[εδώ!] πρώιμος
das Kloster, die Kloster	μοναστήρι
unbequem	άβολος, δυσάρεστος
der Kaiser, die Kaiser / die Kaiserin, die Kaiserinnen	αυτοκράτορας, αυτοκράτειρα
die Briefmarke, die Briefmarken	γραμματόσημο
medizinisch	[εδώ!] θεραπευτικός
die Ringelblume	καλέντουλα
der Gesundheitstipp, die Gesundheitstipps	συμβουλή για θέματα υγείας
das Alltagsleben	καθημερινή ζωή
dasselbe	το ίδιο, τα ίδια
überhaupt	[εδώ!] γενικά
die Routine	ρουτίνα
das Meeting, die Meetings	συνάντηση
sich beschweren, er beschwert sich, er hat sich	παραπονιέμαι
die Rente, die Renten	σύνταξη
die Elternzeit	γονική άδεια
sich kümmern, er kümmert sich, er hat sich	φροντίζω
aus/brechen, er bricht aus, er ist ausgebrochen	το σκάω, ξεφεύγω
die Versicherungskauffrau, die Versicherungskauffrauen	ασφαλίστρια
der Familienkalender, die Familienkalender	οικογενειακή ατζέντα
das Kindergartenkind, die Kindergartenkinder	παιδί που πηγαίνει στον παιδικό σταθμό
das Klavierkonzert, die Klavierkonzerte	συναυλία πιάνου
der Vokabeltest, die Vokabeltests	τεστ λεξιλογίου
der Spieltreff, die Spieltreffs	συνάντηση για παιχνίδι
bremsen, er bremst, er hat gebremst	φρενάρω
brechen, er bricht, er hat gebrochen	σπάζω
der Familienpfleger, die Familienpfleger /	(περιστασιακός) οικογενειακός βοηθός [άνθρωπος που
die Familienpflegerin, die Familienpflegerinnen	φροντίζει για κάποιο διάστημα τις δουλειές του σπιτιού]
der Familiendienst	οικογενειακή μέριμνα
die Notsituation, die Notsituationen	κατάσταση ανάγκης
erwachsen	[εδώ!] ενήλικος
weiter/gehen, es geht weiter, es ist weitergegangen	συνεχίζομαι
die Terrassentür, die Terrassentüren	πόρτα της ταράτσας
klappern, es klappert, es hat geklappert	χτυπώ και κάνω θόρυβο, κροταλίζω
das Geschirr	πιατικά, κουζινικά
der Teller, die Teller	πιάτο
der Geschirrspüler, die Geschirrspüler	πλυντήριο πιάτων
schmutzig	βρόμικος
dran sein, es ist dran, er war dran	είναι/έρχεται η σειρά, έχει σειρά
die Waschmaschine, die Waschmaschinen	πλυντήριο ρούχων
die Musikschule, die Musikschulen	ωδείο
das Bügeln	σιδέρωμα
schwach	αδύναμος
der Verwandte, die Verwandten	συγγενής
komisch	παράξενος, αστείος
der Kindergarten, die Kindergärten	παιδικός σταθμός
froh sein, er ist froh, er war froh	χαίρομαι
die Krankenkasse, die Krankenkassen	ασφαλιστικό ταμείο
übernehmen, er übernimmt, er hat übernommen	αναλαμβάνω
ab/waschen, er wäscht ab, er hat abgewaschen	πλένω τα πιάτα
die Nachbarschaft	γειτονιά, γείτονες
der Montagmorgen	Δευτέρα πρωί, πρωινό Δευτέρας
die Zentrale, die Zentralen	κεντρικά (γραφεία)
decken, er deckt, er hat gedeckt	[εδώ!] στρώνω (το τραπέζι)
unterrichten, er unterrichtet, er hat unterrichtet	διδάσκω
die Gefahr, die Gefahren	κίνδυνος
der Verkehr	κυκλοφορία
die Kontrolle, die Kontrollen	έλεγχος
der Konferenzraum, die Konferenzräume	αίθουσα συσκέψεων
der Direktor, die Direktoren / die Direktorin,	διευθυντής, διευθύντρια
der Freitagnachmittag, die Freitagnachmittage	απόγευμα Παρασκευής
die Kaffeemaschine, die Kaffeemaschinen	καφετιέρα
sich konzentrieren, er konzentriert sich,	συγκεντρώνομαι
ständig	διαρκώς
der Terminkalender, die Terminkalender	ατζέντα, ημερολόγιο
packen, er packt, er hat gepackt	[εδώ!] βάζω (μέσα), τοποθετώ
die Fotogeschichte, die Fotogeschichten	ιστορία σε φωτογραφίες
den Einkauf machen, er macht den Einkauf,	κάνω τα ψώνια
in Teilzeit arbeiten, er arbeitet in Teilzeit,	εργάζομαι σε μερική απασχόληση
die Alltagsroutine, die Alltagsroutinen	καθημερινή ρουτίνα (επαναλαμβανόμενες εργασίες)
die Rechnung, die Rechnungen	λογαριασμός
der Berufsverkehr	ώρα (κυκλοφοριακής) αιχμής
ein/schlafen, er schläft ein, er ist eingeschlafen	αποκοιμιέμαι, με παίρνει ο ύπνος
die Vorbereitung, die Vorbereitungen	προετοιμασία
das Kochbuch, die Kochbücher	οδηγός μαγειρικής, τσελεμεντές
der Notruf, die Notrufe	1. κλήση έκτακτης ανάγκης
der Unfallbericht, die Unfallberichte	έκθεση/αναφορά/περιγραφή ατυχήματος
aus/räumen, er räumt aus, er hat ausgeräumt	αδειάζω
das Haushaltsgerät, die Haushaltsgeräte	οικιακή συσκευή
kühlen, er kühlt, er hat gekühlt	ψύχω, κρυώνω, κρατώ δροσερό/κρύο
das Geschirr spülen, er spült das Geschirr,	πλένω τα πιάτα
das Fensterputzen	καθάρισμα των παράθυρων
die Frühstückspause, die Frühstückspausen	διάλειμμα για πρόγευμα
die Kaffeeküche, die Kaffeeküchen	(μικρή) κουζίνα, κουζινάκι
der Praktikant, die Praktikanten / die Praktikantin,	ασκούμενος, μαθητευόμενος, πρακτικάριος
das Festival, die Festivals	φεστιβάλ
wach machen, es macht wach	ξυπνώ (κάποιον)
Open Air	υπαίθριος, ανοικτός
an/reisen, er reist an, er ist angereist	(ταξιδεύω κι‘) έρχομαι
gesamt-	όλος
die Bühne, die Bühnen	σκηνή
der Ticketpreis, die Ticketpreise	τιμή του εισιτηρίου
enthalten, es enthält	περιέχω, περιλαμβάνω
das Wohnmobil, die Wohnmobile	αυτοκινούμενο, τροχόσπιτο
das Gelände, die Gelände	περιοχή, οικόπεδο
die Dusche, die Duschen	ντους
legendär	θρυλικός
das Erlebnis, die Erlebnisse	βίωμα
zählen, es zählt, es hat gezählt zu + Dat	συγκαταλέγομαι
der Konzertort, die Konzertorte	τόπος συναυλίας
die Musikkarierre, die Musikkarierren	μουσική καριέρα
daher	γι‘ αυτό (το λόγο)
spezial	σπέσιαλ
die Elektromusik	ηλεκτρονική μουσική
national	[εδώ!] ντόπιος, εγχώριος
tagsüber	κατά τη διάρκεια της ημέρας
baden, er badet, er hat gebadet	κάνω μπάνιο, κολυμπώ
krass	έντονος
der Kunden-Service	κέντρο εξυπηρέτησης κοινού
die Ticket-Anzahl	αριθμός εισιτηρίων
der Vorverkauf	προπώληση
die Ermäßigung, die Ermäßigungen	έκπτωση
das Telefonat, die Telefonate	τηλεφώνημα
zusammen/fassen, er fasst zusammen,	συνοψίζω
Glück haben, er hat Glück, er hatte Glück	είμαι τυχερός
die Sonnencreme, die Sonnencremes	αντηλιακή κρέμα
Ein Interview mit Vloggerin Jana	der Vlogger, die Vlogger / die Vloggerin, die Vloggerinnen	 βίντεο-μπλόγκερ
die Festivalzeit, die Festivalzeiten	εποχή των φεστιβάλ
der Kanal, die Kanäle	κανάλι
der Sommermonat, die Sommermonate	καλοκαιρινός μήνας
der Kleinbus, die Kleinbusse	μίνιμπας
die Sache, die Sachen	πράγμα
transportieren, er transportiert, er hat transportiert	μεταφέρω
das Mikrofon, die Mikrofone	μικρόφωνο
bearbeiten, er bearbeitet, er hat bearbeitet	επεξεργάζομαι
hoch/laden, er lädt hoch, er hat hochgeladen	ανεβάζω (στο διαδίκτυο)
der/das Vlog, die Vlogs	βίντεομπλογκ
der Künstler, die Künstler / die Künstlerin,	καλλιτέχνης
auf/treten, er tritt auf, er ist aufgetreten	εμφανίζομαι
der Typ, die Typen	τύπος
der Festivalbesuch, die Festivalbesuche	επίσκεψη ενός φεστιβάλ
die Plastik	[εδώ!] πλαστικά
aufregend	συναρπαστικός
genial	ιδιοφυής, τέλειος
dreckig	βρόμικος
der Boden, die Böden	1. έδαφος     2. πάτωμα
schlammig	λασπώδης
unpraktisch	άβολος, όχι πρακτικός
die Lichtershow, die Lichtershows	σόου με φωτορυθμικά
die Waldbühne, die Waldbühnen	σκηνή στο δάσος
die Lieblingsband, die Lieblingsbands	αγαπημένο συγκρότημα
zu/machen, es macht zu, es hat zugemacht	κλείνω
die Gänsehaut	ανατριχίλα
auf/hören, es hört auf, es hat aufgehört	σταματώ
nach und nach	σιγά σιγά
gut drauf sein, er ist gut drauf, er war gut drauf	έχω καλή διάθεση
der Wiener, die Wiener / die Wienerin, die Wienerinnen	Βιεννέζος, Βιεννέζα
der Höhepunkt, die Höhepunkte	αποκορύφωμα, αποκορύφωση
das Fazit, die Fazite	τελικό συμπέρασμα
großartig	θαυμάσιος, καταπληκτικός
die Show, die Shows	σόου
die Sportveranstaltung, die Sportveranstaltungen	αθλητική εκδήλωση
tauschen, er tauscht, er hat getauscht	ανταλλάσσω
der Festivalgast, die Festivalgäste	επισκέπτης του φεστιβάλ
