der Start	αρχή, ξεκίνημα
die Umfrage, die Umfragen	δημοσκόπηση, έρευνα
das Terminproblem, die Terminprobleme	πρόβλημα με ένα ραντεβού
die Uhrzeit, die Uhrzeiten	ώρα, ένδειξη ώρας
leidtun, es tut (mir) leid	λυπάμαι
die S-Bahn, die S-Bahnen	(επίγειο) ηλεκτρικό (τρένο)
ausfallen, er fällt aus	ακυρώνομαι
der Bus, die Busse	λεωφορείο
halb	μισός
o.k.	εντάξει
Auf Wiederhören!	Τα ξαναλέμε! Αντίο! [στο τηλέφωνο]
formell	επίσημος, τυπικός
abfahren, er fährt ab	αναχωρώ
die Linie, die Linien	γραμμή
um …	στις … (η ώρα)
spät	αργά
Wie spät ist es?	Τι ώρα είναι;
informell	ανεπίσημος
vor (kurz vor ...)	[εδώ!] πριν (λίγο πριν τις …)
das Viertel, die Viertel	το τέταρτο
die Weltzeit	παγκόσμια ώρα
jetzt	τώρα
der Montag, die Montage	Δευτέρα
der Terminkalender, die Terminkalender	ατζέντα, ημερολόγιο
der Wochentag, die Wochentage	ημέρα της εβδομάδας
der Dienstag, die Dienstage	Τρίτη
der Mittwoch, die Mittwoche	Τετάρτη
gestern	χθες
abholen, er holt ab	περνάω και παίρνω
die Telefonkonferenz, die Telefonkonferenzen	τηλεφωνική σύσκεψη, τηλεδιάσκεψη
das Training, die Trainings	προπόνηση
ausschalten, er schaltet aus	κλείνω [συσκευή]
das Wochenende, die Wochenenden	σαββατοκύριακο
ausschlafen, er schläft aus	χορταίνω ύπνο, κοιμάμαι ως αργά
der Kalender, die Kalender	ημερολόγιο
trennbar	χωριζόμενος
der Infinitiv, die Infinitive	απαρέμφατο
das Satzende	τέλος της πρότασης
der Freitag, die Freitage	Παρασκευή
der Samstag, die Samstage	Σάββατο
die Wortfrage, die Wortfragen	ερώτηση μερικής άγνοιας
die Tageszeit, die Tageszeiten	διάστημα της ημέρας
morgens	το πρωί, τα πρωινά
abends	το βράδυ, τα βράδια
der Morgen	πρωί
der Vormittag, die Vormittage	πρωί
der Mittag, die Mittage	μεσημέρι
der Nachmittag, die Nachmittage	απόγευμα, απομεσήμερο
die Nacht, die Nächte	νύχτα
Gute Nacht!	Καληνύχτα!
Guten Abend!	Καλησπέρα!
der Friseur/Frisör, die Friseure/Frisöre / die Friseurin/	κουρέας, κομμωτής, κομμώτρια
ganz	ολόκληρος, [εδώ!] εντελώς
normal	κανονικός, [εδώ!] συνηθισμένος
der Donnerstag, die Donnerstage	Πέμπτη
ansehen, er sieht an	κοιτάζω
der Bäcker, die Bäcker / die Bäckerin, die Bäckerinnen	φούρναρης, φουρνάρισσα
beide	(και) οι δύο
eintragen, er trägt ein	καταχωρώ, σημειώνω
aufstehen, er steht auf	σηκώνομαι
weggehen, er geht weg	φεύγω
backen, er backt/bäckt	ψήνω, φουρνίζω
die Uni, die Unis / die Universität, die Universitäten	πανεπιστήμιο
fahren, er fährt	πηγαίνω (με το αυτοκίνητο / μέσο μαζικής μεταφοράς)
das Bett, die Betten (ins Bett gehen)	κρεβάτι
der Test, die Tests	τεστ, διαγώνισμα
vorbereiten, er bereitet vor	προετοιμάζω
gemeinsam	από κοινού, μαζί
die Tätigkeit, die Tätigkeiten	δραστηριότητα
prima	τέλειος, τέλεια
einladen, er lädt ein	προσκαλώ
die Einladung, die Einladungen	πρόσκληση
beantworten, er beantwortet	απαντώ
lieb	αγαπητός
die Pasta	ζυμαρικό, ζυμαρικά
egal	αδιάφορο, το ίδιο κάνει
die Buslinie, die Buslinien	λεωφορειακή γραμμή
der Wein, die Weine	κρασί
mitbringen, er bringt mit	φέρνω (μαζί μου)
freuen (sich), er freut sich	χαίρομαι
LG (= Liebe Grüße)	χαιρετίσματα, σε/σας χαιρετώ
die Sprachnachricht, die Sprachnachrichten	ακουστικό μήνυμα
die Textnachricht, die Textnachrichten	γραπτό μήνυμα
die Notiz, die Notizen	σημείωση
der Zeitungsartikel, die Zeitungsartikel	άρθρο εφημερίδας
der Weltrekord, die Weltrekorde	παγκόσμιο ρεκόρ
die Weltrekordzeit, die Weltrekordzeiten	χρόνος που αποτελεί παγκόσμιο ρεκόρ
alt (33 Jahre alt)	μεγάλος, γέρος, παλιός (33 ετών)
so um ...	κατά τις … (η ώρα)
die Konferenz, die Konferenzen	σύσκεψη, συνεδρίαση
anfangen, er fängt an	αρχίζω
mitkommen, er kommt mit	έρχομαι (μαζί)
die Kaffeepause, die Kaffeepausen	διάλειμμα για καφέ
die Landeskunde	πληροφορίες για τη χώρα
beginnen, er beginnt	αρχίζω
der Arzt, die Ärzte / die Ärztin, die Ärztinnen	γιατρός, γιατρίνα
das Tennis	τένις
treffen (sich), er trifft (sich)	συναντώ
das/der Yoga	γιόγκα
das Frühstück	πρόγευμα, πρωϊνό
der Frisörtermin, die Frisörtermine	ραντεβού στο κουρείο/κομμωτήριο
der Tagesablauf, die Tagesabläufe	πώς περνά η μέρα
die Landesbibliothek, die Landesbibliotheken	βιβλιοθήκη (ομοσπονδιακού κρατιδίου)
geschlossen	κλειστός
der Paketservice	υπηρεσία διακίνησης πακέτων
die Öffnungszeiten (Plural!)	ώρες λειτουργίας
der Aktionstag, die Aktionstage	ημέρα ειδικών προσφορών
der Döner	γύρος, ντονέρ
ich hätte gern ...	θα ήθελα …
das Videokaraoke	καραόκε με βίντεο
frei (ich habe frei)	ελεύθερος (δεν δουλεύω, είμαι ελεύθερος)
die Zeitangabe, die Zeitangaben	χρονικός προσδιορισμός
der Sprachkurs, die Sprachkurse	μαθήματα ξένων γλωσσών
donnerstags	την Πέμπτη, τις Πέμπτες
die Abfahrtszeit, die Abfahrtszeiten	ώρα αναχώρησης
das Brandenburger Tor	Πύλη του Βραδεμβούργου
der Fotojournalist, die Fotojournalisten /	φωτορεπόρτερ
der Reiseführer, die Reiseführer / die Reiseführerin,	ξεναγός
unterwegs	καθ‘ οδόν, στο δρόμο
der Zug, die Züge	τρένο
pünktlich	έγκαιρος, στην ώρα του
der Hauptbahnhof, die Hauptbahnhöfe	κεντρικός σιδηροδρομικός σταθμός
die Tour, die Touren	γύρος, βόλτα, περίπατος
das Fahrrad, die Fahrräder	ποδήλατο
die Sehenswürdigkeit, die Sehenswürdigkeiten	αξιοθέατο
der Tourist, die Touristen / die Touristin, die Touristinnen	τουρίστας, τουρίστρια
das Selfie, die Selfies	σέλφι
der Fuß, die Füße (zu Fuß)	πόδι (με τα πόδια)
der Aufzug, die Aufzüge	ασανσέρ, ανελκυστήρας
die Kuppel, die Kuppeln	θόλος
nie	ποτέ
das Panorama	πανοραμική άποψη
die Gruppe, die Gruppen	γκρουπ, ομάδα
der Zoo, die Zoos	ζωολογικός κήπος
der Reichstag	γερμανικό κοινοβούλιο
der Treffpunkt, die Treffpunkte	σημείο συνάντησης
die Museumsinsel	νήσος των μουσείων
der Fernsehturm, die Fernsehtürme	πύργος τηλεπικοινωνιών
der Checkpoint, die Checkpoints	σημείο ελέγχου/διάβασης [πρώην ανατολικό Βερολίνο]
das Reisejournal, die Reisejournale	ταξιδιωτικό περιοδικό
der Favorit, die Favoriten	αγαπημένο, δημοφιλές, φαβορί
absolut	απόλυτος, απολύτως/εντελώς
das Programm, die Programme	πρόγραμμα
die Info, die Infos	πληροφορία
das Rad, die Räder	ρόδα, [εδώ!] ποδήλατο
ab …	από …
der März	Μάρτιος
der Oktober	Οκτώβριος
Polnisch	πολωνικά
die Reservierung, die Reservierungen	κράτηση (θέσης)
der Start	αφετηρία, ξεκίνημα, εκκίνηση
der Fotostopp, die Fotostopps	στάση για φωτογράφιση
das Pergamonmuseum	Μουσείο της Περγάμου
das Ende	τέλος, τέρμα
das Präteritum	παρατατικός
das Verkehrsmittel, die Verkehrsmittel	μέσο (μαζικής) μεταφοράς
das Auto, die Autos	αυτοκίνητο
die U-Bahn, die U-Bahnen	μετρό, υπόγειος σιδηρόδρομος
manchmal	μερικές φορές
das Motorrad, die Motorräder	μοτοσυκλέτα, μοτοσακό
der E-Roller, die E-Roller	ηλεκτρικό ποδήλατο
die Fahrplaninformation, die Fahrplaninformationen	πληροφορία δρομολογίων
die Haltestelle, die Haltestellen	στάση (ΜΜΜ)
umsteigen, er steigt um	αλλάζω (ΜΜΜ)
die Direktverbindung, die Direktverbindungen	απευθείας σύνδεση
das Detail, die Details	λεπτομέρεια
nachsehen, er sieht nach	κοιτάζω, ψάχνω
also	λοιπόν
weiterfahren, er fährt weiter	συνεχίζω (τη διαδρομή / το ταξίδι)
die Verbindung, die Verbindungen	σύνδεση
der Fußweg, die Fußwege	διαδρομή με τα πόδια, ποδαρόδρομος
rechts	δεξιά
aussprechen, er spricht aus	προφέρω
der Stadtpark, die Stadtparks	πάρκο (της πόλης)
das Theater, die Theater	θέατρο
das Plakatprojekt, die Plakatprojekte	δημιουργία ενός πλακάτ
die Favoritenliste, die Favoritenlisten	κατάλογος των δημοφιλών σημείων
präsentieren, er präsentiert	παρουσιάζω
die Orientierung	προσανατολισμός
das Hotel, die Hotels	ξενοδοχείο
die Wegbeschreibung, die Wegbeschreibungen	περιγραφή διαδρομής
die Angabe, die Angaben	δεδομένο, στοιχείο
der Standort, die Standorte	τοποθεσία
Zoologischer Garten	Ζωολογικός Κήπος
über ...	[εδώ!] μέσω …
abbiegen, er biegt ab	στρίβω
der Eingang, die Eingänge	είσοδος
das Elefantentor	πύλη των ελεφάντων
links	αριστερά
geradeaus	ίσια μπρος, ευθεία
die Richtung, die Richtungen (in Richtung ...)	κατεύθυνση (με κατεύθυνση προς …)
einzeichnen, er zeichnet ein	χαράζω, σχεδιάζω
der Bahnhof, die Bahnhöfe	(σιδηροδρομικός) σταθμός
schön	ωραίος
weit	μακριά
der Supermarkt, die Supermärkte	σούπερ-μάρκετ
das Ziel, die Ziele	στόχος
weitere	περαιτέρω
der Weg, die Wege	δρόμος, [εδώ!] διαδρομή
dein, deine, dein	δικός σου, δική σου, δικό σου
wem	σε ποιον
gehören, es gehört	ανήκω
der USB-Stick, die USB-Sticks	στικάκι (αποθήκευσης δεδομένων)
sein, seine, sein	δικός του, δική του, δικό του
ihr, ihre, ihr	δικός της, δική της, δικό της, [εδώ!] δικά της
der Schlüssel, die Schlüssel	κλειδί
der Kontrastakzent, die Kontrastakzente	τόνος που εκφράζει αντίθεση
die Zeichnung, die Zeichnungen	σχέδιο, ζωγραφιά
zeigen, er zeigt	δείχνω
planen, er plant	σχεδιάζω
die Städtereise, die Städtereisen	ταξίδι σε μια πόλη, city tour
bleiben, er bleibt	μένω
starten, er startet	ξεκινώ
die Reise, die Reisen	ταξίδι
besichtigen, er besichtigt	επισκέπτομαι, πηγαίνω να δω
dort	εκεί
schon	ήδη
warten, er wartet	περιμένω
der Berliner Dom	καθεδρικός ναός του Βερολίνου
einsteigen, er steigt ein	ανεβαίνω, επιβιβάζομαι
aussteigen, er steigt aus	κατεβαίνω, αποβιβάζομαι
die Navigation	πλοήγηση
nennen, er nennt	ονομάζω, [εδώ!] αναφέρω
unser, unsere, unser	δικός/δική/δικό μας
euer, eure, euer	δικός/δική/δικό σας
der Job, die Jobs	δουλειά
die Bibliothek, die Bibliotheken	βιβλιοθήκη
das Büro, die Büros	γραφείο
die Küche, die Küchen	κουζίνα
der Raum, die Räume	χώρος
die Firma, die Firmen	εταιρεία
die Agentur, die Agenturen	πρακτορείο, γραφείο
die Empfangshalle, die Empfangshallen	χώρος υποδοχής
der Kopierraum, die Kopierräume	χώρος φωτοτυπικών (μηχανημάτων)
der Konferenzraum, die Konferenzräume	αίθουσα συνεδριάσεων
die Kantine, die Kantinen	καντίνα
kreativ	δημιουργικός
direkt	άμεσος
die Design-Agentur, die Design-Agenturen	γραφείο ντιζάιν
der Mitarbeiter, die Mitarbeiter / die Mitarbeiterin,	συνεργάτης, συνεργάτρια
das Design	ντιζάιν, δημιουργικό σχέδιο
das Management	διοίκηση (επιχείρησης), μάνατζμεντ
die IT (= Informationstechnologie)	τεχνολογία πληροφοριών
der Assistent, die Assistenten / die Assistentin,	βοηθός
interessant	ενδιαφέρων
tun, er tut	κάνω
die Aufgabe, die Aufgaben	[εδώ!] καθήκον
organisieren, er organisiert	οργανώνω, διοργανώνω
die E-Mail, die E-Mails	ηλεκτρονικό μήνυμα, email
begrüßen, er begrüßt	χαιρετώ, [εδώ!] υποδέχομαι
das Gebäude, die Gebäude	κτίριο
erst-	πρώτος, πρώτη, πρώτο
der Arbeitstag, die Arbeitstage	ημέρα εργασίας
wichtig	σπουδαίος, σημαντικός
der Programmierer, die Programierer /	προγραμματιστής, προγραματίστρια
erst-	πρώτος
die Etage, die Etagen	πάτωμα, όροφος
entschuldigen (sich), er entschuldigt sich	ζητώ συγνώμη
die Toilette, die Toiletten	τουαλέτα
der Ausgang, die Ausgänge	έξοδος
die Sprachschule, die Sprachschulen	κέντρο ξένων γλωσσών, φροντιστήριο
das Lehrerzimmer, die Lehrerzimmer	γραφείο καθηγητών
das Erdgeschoss, die Erdgeschosse	ισόγειο
das Sekretariat, die Sekretariate	γραμματεία
der Fahrstuhl, die Fahrstühle	ασανσέρ, ανελκυστήρας
dritt-	τρίτος, τρίτη, τρίτο
siebt-	έβδομος, έβδομη, έβδομο
der Podcast, die Podcasts	podcast, φωνητικό άρθρο στο διαδίκτυο
erklären, er erklärt	εξηγώ
kaufen, er kauft	αγοράζω
das Projekt, die Projekte	πρόγραμμα, πρότζεκτ
das Dokument, die Dokumente	[εδώ!] έντυπο
kopieren, er kopiert	φωτοτυπώ
die Präsentation, die Präsentationen	παρουσίαση
die Organisation	διοργάνωση
das Intranet	ιδιωτικό δίκτυο ΗΥ, ενδοδίκτυο, intranet
Freut mich!	Χαίρω πολύ!
Wie geht es Ihnen?	Πώς είστε;
bisher	μέχρι τώρα
der Entwickler, die Entwickler / die Entwicklerin,	δημιουργός software
Schön, dich zu sehen.	Χαίρομαι που σε βλέπω.
grüßen, er grüßt	χαιρετώ
geben, er gibt	δίνω
der Kollege, die Kollegen / die Kollegin, die Kolleginnen	συνάδελφος
die Hand, die Hände	χέρι
das Regal, die Regale	ράφι
die Maus, die Mäuse	ποντίκι
die Tastatur, die Tastaturen	πληκτρολόγιο
der Notizblock, die Notizblöcke	σημειωματάριο
die Pflanze, die Pflanzen	φυτό
der Ordner, die Ordner	ντοσιέ
die Lampe, die Lampen	λάμπα
das Magazin, die Magazine	περιοδικό
der Papierkorb, die Papierkörbe	κάλαθος αχρήστων
das Fenster, die Fenster	παράθυρο
das Tablet, die Tablets	τάμπλετ
aufschreiben, er schreibt auf	σημειώνω
neben	δίπλα από/σε …
auf	πάνω σε …
liegen, er liegt	είμαι, βρίσκομαι (ακουμπισμένος), ξαπλώνω
unter	κάτω από …
die Wand, die Wände	τοίχος
hängen, es hängt	κρέμομαι
über	πάνω από …
das Whiteboard, die Whiteboards	λευκός πίνακας
zeichnen, er zeichnet	ζωγραφίζω, σχεδιάζω
der Schreibtisch, die Schreibtische	γραφείο [έπιπλο]
die Pluralform, die Pluralformen	τύπος πληθυντικού
diskutieren, er diskutiert	συζητώ
der Kunde, die Kunden / die Kundin, die Kundinnen	πελάτης, πελάτισσα
der Gruppenraum, die Gruppenräume	χώρος για ομάδες
sitzen, er sitzt	κάθομαι
das Bürogebäude, die Bürogebäude	κτίριο γραφείων
die Möglichkeit, die Möglichkeiten	πιθανότητα, δυνατότητα
sofort	αμέσως
die Präposition, die Präpositionen	πρόθεση
die Ordnungszahl, die Ordnungszahlen	τακτικό αριθμητικό
die Freizeit	ελεύθερος χρόνος, ελεύθερη ώρα
das Hobby, die Hobbys	χόμπι
das Skifahren (ich fahre Ski)	σκι, χιονοδρομία (κάνω σκι)
der Ersti, die Erstis	πρωτάκι, φοιτητής/φοιτήτρια στο πρώτο εξάμηνο
das Treffen, die Treffen	συνάντηση
die Mensa, die Mensas/Mensen	φοιτητικό εστιατόριο
der Tanzkurs, die Tanzkurse	μαθήματα χορού
aktuell	επίκαιρος
der Kletterkurs, die Kletterkurse	μαθήματα αναρρίχησης
der Sport-Campus	αθλητικές εγκαταστάσεις (του πανεπιστημίου)
das Handlettering	ζωγραφική καλλιγραφία, καλλιτεχνική γραφή
klettern, er klettert	σκαρφαλώνω
tanzen, er tanzt	χορεύω
die Gitarre, die Gitarren	κιθάρα
das Studium	σπουδές
der Berg, die Berge	βουνό
die Bergbahn, die Bergbahnen	ορεινός σιδηρόδρομος
das Stadtzentrum, die Stadtzentren	κέντρο της πόλης
attraktiv	ελκυστικός
der Professor, die Professoren / die Professorin,	καθηγητής/καθηγήτρια πανεπιστημίου
das Ausland	το εξωτερικό
ideal	ιδανικός, ιδεώδης
die Kombination, die Kombinationen	συνδυασμός
radfahren, ich fahre Rad, er fährt Rad	κάνω ποδήλατο
der Winter, die Winter	χειμώνας
das Snowboarden	σνόουμπορντ [ως άθλημα]
das Eisklettern	αναρρίχηση στους πάγους
der/die Sportstudierende, die Sportstudierenden	φοιτητής/φοιτήτρια της Γυμναστικής Ακαδημίας
wandern, er wandert	πεζοπορώ
die Volkshochschule, die Volkshochschulen	λαϊκό πανεπιστήμιο
der Hobbykurs, die Hobbykurse	μαθήματα για χόμπι
das Angebot, die Angebote	προσφορά
die Altstadt, die Altstädte	παλιά πόλη
das Gebirge, die Gebirge	οροσειρά
drinnen	μέσα
draußen	έξω
das Campusradio	φοιτητικός ραδιοφωνικός σταθμός του πανεπιστημίου
der Moderator, die Moderatoren / die Moderatorin,	παρουσιαστής, παρουσιάστρια
das Semester, die Semester	εξάμηνο (σπουδών)
der Wintersportfan, die Wintersportfans	φίλος των χειμερινών σπορ
die Biologie	Βιολογία
der Kontakt, die Kontakte	επαφή
die Germanistik	Γερμανική Φιλολογία
die Club-Szene	νυχτερινή ζωή
ausgehen, er geht aus	βγαίνω έξω για διασκέδαση
ziemlich	αρκετά
das Rodeln	κατάβαση με έλκηθρο
das Eislaufen	παγοδρομία
das Zentrum, die Zentren	κέντρο
das Sportprogramm, die Sportprogramme	αθλητικό πρόγραμμα
die Fitness	καλή φυσική κατάσταση
trainieren, er trainiert	1. προπονούμαι, γυμνάζομαι, 2. γυμνάζω
das Figln	σκι σε χιόνι που έχει αρχίσει να λιώνει
warm	ζεστός
der April	Απρίλιος
der Schnee	χιόνι
nass	υγρός
der Kurz-Ski, die Kurz-Ski(er)	κοντό σκι
der Grund, die Gründe	λόγος
das Radio, die Radios	ραδιόφωνο
weltweit	παγκόσμιος, σε όλο τον κόσμο
das Speeddating	ταχυραντεβού, ραντεβού αστραπή
wechseln, er wechselt	αλλάζω
die Alpen (Plural!)	Άλπεις
die Form, die Formen	τύπος
das Seminar, die Seminare	σεμινάριο
der Geburtstag, die Geburtstage	γενέθλια
kaputt	χαλασμένος
die Autogrammjagd	κυνήγι αυτογράφων
die Unterschrift, die Unterschriften	υπογραφή
klingen, es klingt	ηχώ, ακούγομαι
der Manager, die Manager / die Managerin,	μάνατζερ
das Wintersemester	χειμερινό εξάμηνο
der Niederländer, die Niederländer /	Ολλανδός, Ολλανδέζα
deutlich	καθαρός, σαφής
klein	μικρός, [εδώ!] σύντομος/κοφτός
das Modalverb, die Modalverben	τροπικό ρήμα
der Aussagesatz, die Aussagesätze	καταφατική πρόταση
die Lieblingsstadt, die Lieblingsstädte	αγαπημένη πόλη
die Wortverbindung, die Wortverbindungen	συνδυασμός λέξεων
das Studienfach, die Studienfächer	κλάδος σπουδών
die Werkstatt, die Werkstätten	συνεργείο
Medizin	[εδώ!] Ιατρική
der Tourismus	τουρισμός
die Ostsee	Βόρεια Θάλασσα
nah	κοντά
schwimmen, er schwimmt	κολυμπώ
das Schreibtraining	άσκηση γραπτής έκφρασης
ausbauen, er baut aus	επεκτείνω
mehrere (Plural!)	αρκετοί, αρκετές, αρκετά
der Uni-Termin, die Uni-Termine	δουλειά στο πανεπιστήμιο
der Anfänger, die Anfänger / die Anfängerin,	αρχάριος, αρχάρια
der Bericht, die Berichte	έκθεση
die Slowakei	Σλοβακία
der Club, die Clubs	κλαμπ, ντισκοτέκ, χορευτικό κέντρο
die Wohngemeinschaft/WG, die Wohngemein-	συγκατοίκηση, διαμέρισμα που μοιράζονται πολλοί
das Mittagsangebot, die Mittagsangebote	μεσημεριανή προσφορά
die Roulade, die Rouladen	ρολό (με κρέας)
das Rotkraut	κόκκινο λάχανο
türkisch	τούρκικος
die Linsensuppe	σούπα με φακές
das Ergebnis, die Ergebnisse	αποτέλεσμα
die Hobbymannschaft, die Hobbymannschaften	ομάδα ερασιτεχνών
das Mittagessen	μεσημεριανό, γεύμα
grillen, er grillt	ψήνω (στα κάρβουνα), κάνω μπάρμπεκιου
die Abfahrt	αναχώρηση
der Stau, die Staus	μποτιλιάρισμα
angeln, er angelt	ψαρεύω
die Aktivität, die Aktivitäten	δραστηριότητα
das Partnerwort, die Partnerwörter	λέξη που ταιριάζει με μια άλλη
der Grammatikbegriff, die Grammatikbegriffe	γραμματικός όρος
der Possessivartikel, die Possessivartikel	κτητική αντωνυμία
tauschen, er tauscht	ανταλλάσσω
die Wortschatzübung, die Wortschatzübungen	άσκηση λεξιλογίου
selber	ο ίδιος, μόνος μου
das Foyer, die Foyers	φουαγιέ, προθάλαμος
der Altenpfleger, die Altenpfleger / die Altenpflegerin,	πρόσωπο που φροντίζει ηλικιωμένους
die Jacke, die Jacken	ζακέτα
der Baum, die Bäume	δέντρο
das Kind, die Kinder	παιδί
das Haus, die Häuser	σπίτι
vorlesen, er liest vor	διαβάζω φωναχτά, απαγγέλλω
aufnehmen, er nimmt auf	ηχογραφώ
das Zuhause	σπίτι, σπιτικό
zu Hause	στο σπίτι
die Tochter, die Töchter	κόρη, θυγατέρα
die Wohnung, die Wohnungen	διαμέρισμα, κατοικία
das Zimmer, die Zimmer	δωμάτιο
das Arbeitszimmer, die Arbeitszimmer	γραφείο [δωμάτιο]
das Kinderzimmer, die Kinderzimmer	παιδικό δωμάτιο
lieben, er liebt	αγαπώ
das Wohnzimmer, die Wohnzimmer	καθιστικό
gemütlich	άνετος, αναπαυτικός
hell	1. φωτεινός, 2. ανοιχτόχρωμος
das Sofa, die Sofas	καναπές
der Teppich, die Teppiche	χαλί
reden, er redet	μιλώ
das Badezimmer, die Badezimmer	μπάνιο, λουτρό
der Balkon, die Balkons/Balkone	μπαλκόνι
das Homeoffice	τηλεργασία, δουλειά από το σπίτι
der Nachbar, die Nachbarn / die Nachbarin,	γείτονας, γειτόνισσα
nett	ευγενικός, συμπαθητικός
entspannen (sich), er entspannt (sich)	χαλαρώνω
der Fernseher, die Fernseher	τηλεόραση [συσκευή]
teilen, er teilt	[εδώ!] μοιράζομαι
jeder, jedes, jede	ο καθένας, η καθεμιά, το καθένα
der Sessel, die Sessel	πολυθρόνα
der Film, die Filme	ταινία, φιλμ
das Schlafzimmer, die Schlafzimmer	υπνοδωμάτιο
der Flur, die Flure	χολ
die Hypothese, die Hypothesen	υπόθεση
der Plan, die Pläne	σχέδιο
prüfen, er prüft	ελέγχω
die Hausaufgabe, die Hausaufgaben	(σχολική) δουλειά για το σπίτι
das Bücherregal, die Bücherregale	ράφι για βιβλία
der Schrank, die Schränke	ντουλάπα
die Kommode, die Kommoden	κομό
der Herd, die Herde	ηλεκτρική κουζίνα
der Kühlschrank, die Kühlschränke	ψυγείο
die Spüle, die Spülen	νεροχύτης
das Kompositum, die Komposita	σύνθετο ουσιαστικό
die Küchenuhr, die Küchenuhren	ρολόι κουζίνας
das Grundwort, die Grundwörter	βασική λέξη
bestimmen, er bestimmt	καθορίζω, ορίζω
das System, die Systeme	σύστημα
das Paar, die Paare	ζευγάρι, ζεύγος
das Wortpaar, die Wortpaare	ζευγάρι λέξεων
die Katze, die Katzen	γάτα
hinter	πίσω από …
leicht	ελαφρύς
modern	μοντέρνος
dunkel	1. σκούρος     2. σκοτεινός
günstig	[εδώ!] σε καλή/συμφέρουσα τιμή
übertreiben, er übertreibt	υπερβάλλω
das Tiny House, die Tiny Houses	σπιτάκι
positiv	θετικός
negativ	αρνητικός
klein, aber oho	μικρός αλλά μια χαρά
mobil	κινητός
elegant	κομψός
der Trend, die Trends	τάση
die Traumwohnung, die Traumwohnungen	κατοικία των ονείρων
laut	[εδώ!] θορυβώδης, με φασαρία
das Geld	χρήματα
der Blogeintrag, die Blogeinträge	ποστάρισμα (σε μπλογκ)
ruhig	ήσυχος
das Studententicket, die Studententickets	φοιτητικό εισιτήριο, πάσο
praktisch	πρακτικός
die Zeilennummer, die Zeilennummern	αριθμός της αράδας
die Zeile, die Zeilen	αράδα, γραμμή (κειμένου)
Wie viele ...?	Πόσοι/Πόσες/Πόσα
die Leselampe, die Leselampen	λαμπατέρ
das Schlafsofa, die Schlafsofas	καναπές-κρεβάτι
der Esstisch, die Esstische	τραπέζι φαγητού
die Stehlampe, die Stehlampen	φωτιστικό δαπέδου
der Fernsehsessel, die Fernsehsessel	πολυθρόνα για τηλεόραση
schade	κρίμα
die Wohnform, die Wohnformen	τύπος κατοικίας
die Familie, die Familien	οικογένεια
die Großeltern (Plural!)	παππούς και γιαγιά, παππούδες
die Eltern (Plural!)	γονείς
der Onkel, die Onkel	θείος
die Tante, die Tanten	θεία
der Bruder, die Brüder	αδελφός
die Schwester, die Schwestern	αδελφή
der Sohn, die Söhne	γιος
der Neffe, die Neffen	ανηψιός
der Cousin, die Cousins / die Cousine, die Cousinen	ξάδελφος, ξαδέλφη
die Nichte, die Nichten	ανηψιά
das Alter	ηλικία
die Geschwister (Plural!)	αδέλφια
der Familienstand	οικογενειακή κατάσταση
geschieden	διαζευγμένος
verheiratet	παντρεμένος, έγγαμος
das Enkelkind, die Enkelkinder	εγγόνι
der Enkel, die Enkel / die Enkelin, die Enkelinnen	εγγονός, εγγονή
ledig	ανύπαντρος, άγαμος
der Urenkel, die Urenkel / die Urenkelin, die Urenkelinnen	δισέγγονος, δισεγγονή
die Großmutter, die Großmütter	γιαγιά
das Familienwort, die Familienwörter	λέξη που περιγράφει συγγενική σχέση
der Familienbaum, die Familienbäume	γενεαλογικό δέντρο
die Bäckerei, die Bäckereien	αρτοποιείο
die Generation, die Generationen	γενεά, γενιά
die Jahreszahl, die Jahreszahlen	χρονολογία
der Familienbetrieb, die Familienbetriebe	οικογενειακή επιχείρηση
der Großvater, die Großväter	παππούς
heiraten, er heiratet	παντρεύομαι
die Großbäckerei, die Großbäckereien	μεγάλο αρτοποιείο
bauen, er baut	χτίζω, φτιάχνω
der Betrieb, die Betriebe	επιχείρηση
leiten, er leitet	διευθύνω
der Backshop, die Backshops	πρατήριο
gründen, er gründet	ιδρύω
der/die Angestellte, die Angestellten	ιδιωτικός υπάλληλος
das Erfolgsrezept, die Erfolgsrezepte	συνταγή επιτυχίας
privat	ιδιωτικός, ιδιωτικά
das Partizip, die Partizipien	μετοχή [μέρος του λόγου]
das Partizip II	μετοχή παρακειμένου
der Verbstamm	θέμα του ρήματος
enden, er endet	τελειώνω, [εδώ!] λήγω
regelmäßig	[εδώ!] ομαλός
vorne	μπρος
hinten	πίσω
der Perfektsatz, die Perfektsätze	πρόταση στον παρακείμενο
der Bankkaufmann, die Bankkaufmänner /	(ειδικευμένος) τραπεζοϋπάλληλος
mieten, er mietet	νοικιάζω
der Blogger, die Blogger / die Bloggerin,	μπλόγκερ
der Kaffeeklatsch	κουβεντούλα (πίνοντας καφέ)
der Haushalt, die Haushalte	νοικοκυριό
die Oma, die Omas	γιαγιά
mehr	[εδώ!] πια
erstellen, er erstellt	δημιουργώ, φτιάχνω
die Dialoggrafik, die Dialoggrafiken	σχέδιο διαλόγου
stressig	αγχωτικός
der Opa, die Opas	παππούς
der Vater, die Väter	πατέρας
der Vati / der Papa / der Papi	μπαμπάς, μπαμπάκας
die Mutter, die Mütter	μητέρα
die Mutti / die Mama / die Mami	μαμά, μανούλα
